synthetic	(of a substance) made by chemical synthesis, especially to imitate a natural product.	
crop	a cultivated plant that is grown on a large scale commercially, especially a cereal, fruit, or vegetable.	
compostable (compost)	A mixture of decayed or decaying organic matter used to fertilize soil. (Source: dictionary.com)	
egregious	outstandingly bad; shocking.	
gyre	whirl or gyrate.	
foul something up (or foul up)	make a mistake with or spoil something.	
prolific	(of a plant, animal, or person) producing much fruit or foliage or many offspring.	
feedstock	raw material to supply or fuel a machine or industrial process.	
husk	the dry outer covering of some fruits or seeds.	
pasteurize	<div>process of partial sterilization, especially one involving heat treatment or irradiation, thus making the product safe for consumption and improving its keeping quality. (pasteurized milk)</div>	
inoculate	treat with a vaccine to produce immunity against a disease; vaccinate.	
lid	a removable or hinged cover for the top of a container.	
yield	an amount produced of an agricultural or industrial product.	
polymer	a substance which has a molecular structure built up chiefly or completely from a large number of similar units bonded together, e.g. many synthetic organic materials used as plastics and resins.	
crustacean	<div>an arthropod of the large, mainly aquatic group Crustacea, such as a crab, lobster, shrimp, or barnacle.</div>	
